,ID УУ,Адрес,Полный адрес,Округ,UNOM,Группа,№ ОДС,Адрес ОДС,Потребитель (или УК),ЦТП,Unnamed: 0,Город,Административный округ,Муниципальный округ,Населенный пункт,Улица,Тип номера дом,Номер дома,Номер корпуса,Тип номера строения/сооружения,Номер строения,Unnamed: 12,Материал,Назначение,Класс,Тип,Этажность,Признак,Общая площадь,Тип Назначение
10,154379478,"10-я ул. Соколиной Горы, д. 8, к. 2","город Москва, внутригородская территория муниципальный округ Соколиная Гора, 10-я улица Соколиной Горы, дом 8, корпус 2",ВАО,24193,МКД,ОДС №26-Соколиная Гора,"город Москва, Вольная улица, дом 3","ООО ""УК М. Р-Н ""СОКОЛИНАЯ ГОРА""",04-02-0409/032,78345,город Москва,Восточный административный округ,муниципальный округ Соколиная Гора,,10-я улица Соколиной Горы,дом,8,2,,,1,из железобетонных сегментов,многоквартирный дом,жилые,Здание,16.0,,"5315,9",3
11,173675187,"11-я Парковая ул., д. 1/89, к. 1","город Москва, 11-я Парковая улица, дом 1/89, корпус 1",ВАО,18780,МКД,ОДС №4-Восточное Измайлово,"город Москва, 11-я Парковая улица, дом 1/89, корпус 1","ГБУ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/066,69066,город Москва,Восточный административный округ,муниципальный округ Восточное Измайлово,,11-я Парковая улица,дом,1/89,1,,,1,из железобетонных сегментов,многоквартирный дом,жилые,Здание,9.0,,2729,3
12,173675204,"11-я Парковая ул., д. 1/89, к. 2","город Москва, 11-я Парковая улица, дом 1/89, корпус 2",ВАО,18781,МКД,ОДС №4-Восточное Измайлово,"город Москва, 11-я Парковая улица, дом 1/89, корпус 1","ООО ""РЭУ-29 РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/052,69018,город Москва,Восточный административный округ,муниципальный округ Восточное Измайлово,,11-я Парковая улица,дом,1/89,2,,,1,из железобетонных сегментов,многоквартирный дом,жилые,Здание,12.0,,"3642,6",3
13,175262169,"11-я Парковая ул., д. 10","город Москва, 11-я Парковая улица, дом 10",ВАО,18789,МКД,ОДС №4-Восточное Измайлово,"город Москва, 11-я Парковая улица, дом 1/89, корпус 1","ООО ""РЭУ-29 РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/052,69069,город Москва,Восточный административный округ,муниципальный округ Восточное Измайлово,,11-я Парковая улица,дом,10,,,,1,кирпичные,многоквартирный дом,жилые,Здание,5.0,,"2463,4",3
14,92696806,"11-я Парковая ул., д. 14","город Москва, 11-я Парковая улица, дом 14",ВАО,18790,МКД,ОДС №4-Восточное Измайлово,"город Москва, 11-я Парковая улица, дом 1/89, корпус 1","ООО ""РЭУ-29 РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/053,69059,город Москва,Восточный административный округ,муниципальный округ Восточное Измайлово,,11-я Парковая улица,дом,14,,,,1,из железобетонных сегментов,многоквартирный дом,жилые,Здание,16.0,,"5312,7",3
15,785479134,"11-я Парковая ул., д. 19","город Москва, 11-я Парковая улица, дом 19",ВАО,19205,МКД,ОДС №57-Измайлово,"город Москва, 9-я Парковая улица, дом 27","ГБУ ""ЖИЛИЩНИК РАЙОНА ИЗМАЙЛОВО""",04-05-0604/064,69036,город Москва,Восточный административный округ,муниципальный округ Измайлово,,11-я Парковая улица,дом,19,,,,1,кирпичные,многоквартирный дом,жилые,Здание,9.0,,"7074,9",3
16,785481160,"11-я Парковая ул., д. 21","город Москва, 11-я Парковая улица, дом 21",ВАО,18791,МКД,ОДС №57-Измайлово,"город Москва, 9-я Парковая улица, дом 27","ГБУ ""ЖИЛИЩНИК РАЙОНА ИЗМАЙЛОВО""",04-05-0604/064,69035,город Москва,Восточный административный округ,муниципальный округ Измайлово,,11-я Парковая улица,дом,21,,,,1,кирпичные,многоквартирный дом,жилые,Здание,9.0,,"6194,9",3
17,161827707,"11-я Парковая ул., д. 24","город Москва, 11-я Парковая улица, дом 24",ВАО,18792,МКД,ОДС №2-Восточное Измайлово,"город Москва, Средняя Первомайская улица, дом 44","ГБУ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/101,69019,город Москва,Восточный административный округ,муниципальный округ Восточное Измайлово,,11-я Парковая улица,дом,24,,,,1,кирпичные,многоквартирный дом,жилые,Здание,10.0,,"11710,5",3
18,337705366,"11-я Парковая ул., д. 25","город Москва, 11-я Парковая улица, дом 25",ВАО,65081,МКД,ОДС №57-Измайлово,"город Москва, 9-я Парковая улица, дом 27","ГБУ ""ЖИЛИЩНИК РАЙОНА ИЗМАЙЛОВО""",04-05-0604/047,69032,город Москва,Восточный административный округ,муниципальный округ Измайлово,,11-я Парковая улица,дом,25,,,,1,панельные,многоквартирный дом,жилые,Здание,10.0,,"6692,9",3
19,190957878,"11-я Парковая ул., д. 26А","город Москва, 11-я Парковая улица, дом 26А",ВАО,18795,МКД,ОДС №2-Восточное Измайлово,"город Москва, Средняя Первомайская улица, дом 44","ГБУ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/063,69060,город Москва,Восточный административный округ,муниципальный округ Восточное Измайлово,,11-я Парковая улица,дом,26А,,,,1,кирпичные,многоквартирный дом,жилые,Здание,5.0,,"2594,6",3
20,785479040,"11-я Парковая ул., д. 29","город Москва, 11-я Парковая улица, дом 29",ВАО,18796,МКД,ОДС №27-Измайлово,"город Москва, 7-я Парковая улица, дом 15, корпус 3","ГБУ ""ЖИЛИЩНИК РАЙОНА ИЗМАЙЛОВО""",04-05-0604/124,69027,город Москва,Восточный административный округ,муниципальный округ Измайлово,,11-я Парковая улица,дом,29,,,,1,из железобетонных сегментов,многоквартирный дом,жилые,Здание,16.0,,"5656,2",3
21,303445886,"11-я Парковая ул., д. 3, к. 1","город Москва, 11-я Парковая улица, дом 3, корпус 1",ВАО,18782,МКД,ОДС №4-Восточное Измайлово,"город Москва, 11-я Парковая улица, дом 1/89, корпус 1","ГБУ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/066,69070,город Москва,Восточный административный округ,муниципальный округ Восточное Измайлово,,11-я Парковая улица,дом,3,1,,,1,кирпичные,многоквартирный дом,жилые,Здание,5.0,,"2519,1",3
22,175263153,"11-я Парковая ул., д. 3, к. 2","город Москва, 11-я Парковая улица, дом 3, корпус 2",ВАО,18783,МКД,ОДС №4-Восточное Измайлово,"город Москва, 11-я Парковая улица, дом 1/89, корпус 1","ООО ""РЭУ-29 РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/066,69071,город Москва,Восточный административный округ,муниципальный округ Восточное Измайлово,,11-я Парковая улица,дом,3,2,,,1,кирпичные,многоквартирный дом,жилые,Здание,5.0,,"2503,7",3
23,233623864,"11-я Парковая ул., д. 31","город Москва, 11-я Парковая улица, дом 31",ВАО,18797,МКД,ОДС №27-Измайлово,"город Москва, 7-я Парковая улица, дом 15, корпус 3","ГБУ ""ЖИЛИЩНИК РАЙОНА ИЗМАЙЛОВО""",04-05-0604/124,69038,город Москва,Восточный административный округ,муниципальный округ Измайлово,,11-я Парковая улица,дом,31,,,,1,кирпичные,многоквартирный дом,жилые,Здание,5.0,,"3619,2",3
24,179071798,"11-я Парковая ул., д. 34","город Москва, 11-я Парковая улица, дом 34",ВАО,18798,МКД,ОДС №5-Восточное Измайлово,"город Москва, 13-я Парковая улица, дом 21","ГБУ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/021,69064,город Москва,Восточный административный округ,муниципальный округ Восточное Измайлово,,11-я Парковая улица,дом,34,,,,1,панельные,многоквартирный дом,жилые,Здание,5.0,,"3673,7",3
25,785478592,"11-я Парковая ул., д. 37, к. 1","город Москва, 11-я Парковая улица, дом 37, корпус 1",ВАО,18800,МКД,ОДС №27-Измайлово,"город Москва, 7-я Парковая улица, дом 15, корпус 3","ГБУ ""ЖИЛИЩНИК РАЙОНА ИЗМАЙЛОВО""",04-05-0604/025-1,69031,город Москва,Восточный административный округ,муниципальный округ Измайлово,,11-я Парковая улица,дом,37,1,,,1,кирпичные,многоквартирный дом,жилые,Здание,5.0,,3031,3
26,785478603,"11-я Парковая ул., д. 37, к. 2","город Москва, 11-я Парковая улица, дом 37, корпус 2",ВАО,18801,МКД,ОДС №27-Измайлово,"город Москва, 7-я Парковая улица, дом 15, корпус 3","ГБУ ""ЖИЛИЩНИК РАЙОНА ИЗМАЙЛОВО""",04-05-0604/025-2,69037,город Москва,Восточный административный округ,муниципальный округ Измайлово,,11-я Парковая улица,дом,37,2,,,1,кирпичные,многоквартирный дом,жилые,Здание,5.0,,2550,3
27,785478615,"11-я Парковая ул., д. 37, к. 3","город Москва, 11-я Парковая улица, дом 37, корпус 3",ВАО,18802,МКД,ОДС №27-Измайлово,"город Москва, 7-я Парковая улица, дом 15, корпус 3","ГБУ ""ЖИЛИЩНИК РАЙОНА ИЗМАЙЛОВО""",04-05-0604/025-3,69029,город Москва,Восточный административный округ,муниципальный округ Измайлово,,11-я Парковая улица,дом,37,3,,,1,панельные,многоквартирный дом,жилые,Здание,5.0,,"3582,3",3
28,335589824,"11-я Парковая ул., д. 38","город Москва, 11-я Парковая улица, дом 38",ВАО,18803,МКД,ОДС №5-Восточное Измайлово,"город Москва, 13-я Парковая улица, дом 21","ГБУ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/021,69068,город Москва,Восточный административный округ,муниципальный округ Восточное Измайлово,,11-я Парковая улица,дом,38,,,,1,панельные,многоквартирный дом,жилые,Здание,5.0,,"3703,7",3
29,785478532,"11-я Парковая ул., д. 39, к. 1","город Москва, 11-я Парковая улица, дом 39, корпус 1",ВАО,18804,МКД,ОДС №27-Измайлово,"город Москва, 7-я Парковая улица, дом 15, корпус 3","ГБУ ""ЖИЛИЩНИК РАЙОНА ИЗМАЙЛОВО""",04-05-0604/024-3,69030,город Москва,Восточный административный округ,муниципальный округ Измайлово,,11-я Парковая улица,дом,39,1,,,1,кирпичные,многоквартирный дом,жилые,Здание,5.0,,"2543,1",3
30,785478538,"11-я Парковая ул., д. 39, к. 2","город Москва, 11-я Парковая улица, дом 39, корпус 2",ВАО,18805,МКД,ОДС №27-Измайлово,"город Москва, 7-я Парковая улица, дом 15, корпус 3","ГБУ ""ЖИЛИЩНИК РАЙОНА ИЗМАЙЛОВО""",04-05-0604/024-4,69034,город Москва,Восточный административный округ,муниципальный округ Измайлово,,11-я Парковая улица,дом,39,2,,,1,кирпичные,многоквартирный дом,жилые,Здание,5.0,,"2535,7",3
31,785478546,"11-я Парковая ул., д. 41, к. 1","город Москва, 11-я Парковая улица, дом 41, корпус 1",ВАО,18806,МКД,ОДС №27-Измайлово,"город Москва, 7-я Парковая улица, дом 15, корпус 3","ГБУ ""ЖИЛИЩНИК РАЙОНА ИЗМАЙЛОВО""",04-05-0604/024-5,69028,город Москва,Восточный административный округ,муниципальный округ Измайлово,,11-я Парковая улица,дом,41,1,,,1,кирпичные,многоквартирный дом,жилые,Здание,5.0,,3471,3
32,785481424,"11-я Парковая ул., д. 41, к. 2","город Москва, 11-я Парковая улица, дом 41, корпус 2",ВАО,18807,МКД,ОДС №27-Измайлово,"город Москва, 7-я Парковая улица, дом 15, корпус 3","ГБУ ""ЖИЛИЩНИК РАЙОНА ИЗМАЙЛОВО""",04-05-0604/024-6,69033,город Москва,Восточный административный округ,муниципальный округ Измайлово,,11-я Парковая улица,дом,41,2,,,1,панельные,многоквартирный дом,жилые,Здание,5.0,,"3622,1",3
33,785496030,"11-я Парковая ул., д. 42, к. 1","город Москва, 11-я Парковая улица, дом 42, корпус 1",ВАО,18808,МКД,ОДС №16-Северное Измайлово,"город Москва, 11-я Парковая улица, дом 52","ЖСК ""МОСКОВСКИЙ ПЕНСИОНЕР""",04-06-0604/016,68956,город Москва,Восточный административный округ,муниципальный округ Северное Измайлово,,11-я Парковая улица,дом,42,1,,,1,кирпичные,многоквартирный дом,жилые,Здание,6.0,,"4916,3",3
34,334528684,"11-я Парковая ул., д. 42, к. 2","город Москва, 11-я Парковая улица, дом 42, корпус 2",ВАО,18809,МКД,ОДС №16-Северное Измайлово,"город Москва, 11-я Парковая улица, дом 52","ЖСК ""МОСКОВСКИЙ ПЕНСИОНЕР""",04-06-0604/016,68954,город Москва,Восточный административный округ,муниципальный округ Северное Измайлово,,11-я Парковая улица,дом,42,2,,,1,кирпичные,многоквартирный дом,жилые,Здание,6.0,,4840,3
35,785496606,"11-я Парковая ул., д. 44, к. 2","город Москва, 11-я Парковая улица, дом 44, корпус 2",ВАО,18811,МКД,ОДС №16-Северное Измайлово,"город Москва, 11-я Парковая улица, дом 52",ЖСК ПЕНСИОНЕРОВ ФРУНЗЕНСКОГО РАЙОНА,04-06-0604/016,68961,город Москва,Восточный административный округ,муниципальный округ Северное Измайлово,,11-я Парковая улица,дом,44,2,,,1,кирпичные,многоквартирный дом,жилые,Здание,6.0,,"4290,1",3
36,785494676,"11-я Парковая ул., д. 44, к. 4","город Москва, 11-я Парковая улица, дом 44, корпус 4",ВАО,18813,МКД,ОДС №16-Северное Измайлово,"город Москва, 11-я Парковая улица, дом 52","ЖСК ""НИИПРОЕКТ""",04-06-0604/016,68955,город Москва,Восточный административный округ,муниципальный округ Северное Измайлово,,11-я Парковая улица,дом,44,4,,,1,кирпичные,многоквартирный дом,жилые,Здание,6.0,,"4232,2",3
37,785496416,"11-я Парковая ул., д. 48, к. 1","город Москва, 11-я Парковая улица, дом 48, корпус 1",ВАО,18814,МКД,ОДС №16-Северное Измайлово,"город Москва, 11-я Парковая улица, дом 52","ЖСК ""КРИСТАЛЛ """,04-06-0604/014,68953,город Москва,Восточный административный округ,муниципальный округ Северное Измайлово,,11-я Парковая улица,дом,48,1,,,1,из железобетонных сегментов,многоквартирный дом,жилые,Здание,12.0,,"3623,2",3
38,785496330,"11-я Парковая ул., д. 48, к. 2","город Москва, 11-я Парковая улица, дом 48, корпус 2",ВАО,18815,МКД,ОДС №16-Северное Измайлово,"город Москва, 11-я Парковая улица, дом 52","ЖСК ""ЭНЕРГИЯ""",04-06-0604/014,68971,город Москва,Восточный административный округ,муниципальный округ Северное Измайлово,,11-я Парковая улица,дом,48,2,,,1,из железобетонных сегментов,многоквартирный дом,жилые,Здание,12.0,,"3619,7",3
39,785496204,"11-я Парковая ул., д. 48, к. 3","город Москва, 11-я Парковая улица, дом 48, корпус 3",ВАО,18816,МКД,ОДС №16-Северное Измайлово,"город Москва, 11-я Парковая улица, дом 52","ГБУ ""ЖИЛИЩНИК РАЙОНА СЕВЕРНОЕ ИЗМАЙЛОВО""",04-06-0604/014,68960,город Москва,Восточный административный округ,муниципальный округ Северное Измайлово,,11-я Парковая улица,дом,48,3,,,1,из железобетонных сегментов,многоквартирный дом,жилые,Здание,14.0,,"4284,9",3
40,175693,"11-я Парковая ул., д. 48А","город Москва, 11-я Парковая улица, дом 48А",ВАО,2115607,Бюджет,,,ГБОУ Школа № 2033,04-06-0604/014,238011,город Москва,Восточный административный округ,муниципальный округ Северное Измайлово,,11-я Парковая улица,дом,48А,,,,1,из железобетонных сегментов,детский сад,нежилые,Здание,3.0,,"2145,9",0
41,785506783,"11-я Парковая ул., д. 49","город Москва, 11-я Парковая улица, дом 49",ВАО,2105485,Бюджет,,,"ГБУ ДО ""МГФСО""",04-06-0604/183,151256,город Москва,Восточный административный округ,муниципальный округ Северное Измайлово,,11-я Парковая улица,дом,49,,,,1,панельные,спортивный комплекс,нежилые,Здание,13.0,,"18491,9",1
42,175661,"11-я Парковая ул., д. 50","город Москва, 11-я Парковая улица, дом 50",ВАО,2115879,Бюджет,,,ГБОУ Школа № 2200,04-06-0603/003,188636,город Москва,Восточный административный округ,муниципальный округ Северное Измайлово,,11-я Парковая улица,дом,50,,,,1,из железобетонных сегментов,нежилое,нежилые,Здание,5.0,,"4513,6",2
43,785489294,"11-я Парковая ул., д. 52, к. 5","город Москва, 11-я Парковая улица, дом 52, корпус 5",ВАО,18821,МКД,ОДС №17-Северное Измайлово,"город Москва, 15-я Парковая улица, дом 39","ГБУ ""ЖИЛИЩНИК РАЙОНА СЕВЕРНОЕ ИЗМАЙЛОВО""",04-06-0603/003,68957,город Москва,Восточный административный округ,муниципальный округ Северное Измайлово,,11-я Парковая улица,дом,52,5,,,1,из железобетонных сегментов,многоквартирный дом,жилые,Здание,5.0,,"3575,6",3
44,390320008,"11-я Парковая ул., д. 54, к. 1","город Москва, 11-я Парковая улица, дом 54, корпус 1",ВАО,18823,МКД,ОДС №17-Северное Измайлово,"город Москва, 15-я Парковая улица, дом 39","ГБУ ""ЖИЛИЩНИК РАЙОНА СЕВЕРНОЕ ИЗМАЙЛОВО""",04-06-0603/003,68970,город Москва,Восточный административный округ,муниципальный округ Северное Измайлово,,11-я Парковая улица,дом,54,1,,,1,из железобетонных сегментов,многоквартирный дом,жилые,Здание,5.0,,3535,3
45,358873998,"11-я Парковая ул., д. 54, к. 2","город Москва, 11-я Парковая улица, дом 54, корпус 2",ВАО,18824,МКД,ОДС №17-Северное Измайлово,"город Москва, 15-я Парковая улица, дом 39","ГБУ ""ЖИЛИЩНИК РАЙОНА СЕВЕРНОЕ ИЗМАЙЛОВО""",04-06-0603/003,68968,город Москва,Восточный административный округ,муниципальный округ Северное Измайлово,,11-я Парковая улица,дом,54,2,,,1,из железобетонных сегментов,многоквартирный дом,жилые,Здание,5.0,,"3537,6",3
46,393379525,"11-я Парковая ул., д. 54, к. 3","город Москва, 11-я Парковая улица, дом 54, корпус 3",ВАО,18825,МКД,ОДС №17-Северное Измайлово,"город Москва, 15-я Парковая улица, дом 39","ГБУ ""ЖИЛИЩНИК РАЙОНА СЕВЕРНОЕ ИЗМАЙЛОВО""",04-06-0603/003,68959,город Москва,Восточный административный округ,муниципальный округ Северное Измайлово,,11-я Парковая улица,дом,54,3,,,1,из железобетонных сегментов,многоквартирный дом,жилые,Здание,5.0,,"3588,9",3
47,1073664,"11-я Парковая ул., д. 5А","город Москва, 11-я Парковая улица, дом 5А",ВАО,2105350,Бюджет,,,ГБОУ Школа № 1811,04-07-0604/161,238015,город Москва,Восточный административный округ,муниципальный округ Восточное Измайлово,,11-я Парковая улица,дом,5А,,,,1,кирпичные,детский сад,нежилые,Здание,2.0,,"1128,8",0
48,246142034,"11-я Парковая ул., д. 6","город Москва, 11-я Парковая улица, дом 6",ВАО,18785,МКД,ОДС №4-Восточное Измайлово,"город Москва, 11-я Парковая улица, дом 1/89, корпус 1","ООО ""РЭУ-29 РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/052,69065,город Москва,Восточный административный округ,муниципальный округ Восточное Измайлово,,11-я Парковая улица,дом,6,,,,1,из железобетонных сегментов,многоквартирный дом,жилые,Здание,12.0,,3639,3
49,192025397,"11-я Парковая ул., д. 8","город Москва, 11-я Парковая улица, дом 8",ВАО,18787,МКД,ОДС №4-Восточное Измайлово,"город Москва, 11-я Парковая улица, дом 1/89, корпус 1","ГБУ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/052,69020,город Москва,Восточный административный округ,муниципальный округ Восточное Измайлово,,11-я Парковая улица,дом,8,,,,1,кирпичные,многоквартирный дом,жилые,Здание,5.0,,"2501,1",3
50,334559754,"11-я Парковая ул., д. 9/35","город Москва, 11-я Парковая улица, дом 9/35",ВАО,18788,МКД,ОДС №4-Восточное Измайлово,"город Москва, 11-я Парковая улица, дом 1/89, корпус 1","ООО ""РЭУ-29 РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/161,69067,город Москва,Восточный административный округ,муниципальный округ Восточное Измайлово,,11-я Парковая улица,дом,9/35,,,,1,панели керамзитобетонные,многоквартирный дом,жилые,Здание,9.0,,"16242,3",3
51,182649,"12-я Парковая ул., д. 13","город Москва, 12-я Парковая улица, дом 13",ВАО,2115587,Бюджет,,,"ГБПОУ ""МКАГ""",04-07-0604/160,188637,город Москва,Восточный административный округ,муниципальный округ Восточное Измайлово,,12-я Парковая улица,дом,13,,,,1,кирпичные,нежилое,нежилые,Здание,3.0,,5185,2
52,184764182,"13-я Парковая ул., д. 11","город Москва, 13-я Парковая улица, дом 11",ВАО,18832,МКД,ОДС №2-Восточное Измайлово,"город Москва, Средняя Первомайская улица, дом 44","ГБУ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/196,68944,город Москва,Восточный административный округ,муниципальный округ Восточное Измайлово,,13-я Парковая улица,дом,11,,,,1,кирпичные,многоквартирный дом,жилые,Здание,5.0,,"3033,6",3
53,785470413,"13-я Парковая ул., д. 14","город Москва, 13-я Парковая улица, дом 14",ВАО,18833,МКД,ОДС №5-Восточное Измайлово,"город Москва, 13-я Парковая улица, дом 21","ГБУ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/028,68963,город Москва,Восточный административный округ,муниципальный округ Восточное Измайлово,,13-я Парковая улица,дом,14,,,,1,панельные,многоквартирный дом,жилые,Здание,5.0,,"3567,7",3
54,175253995,"13-я Парковая ул., д. 16, к. 1","город Москва, 13-я Парковая улица, дом 16, корпус 1",ВАО,18834,МКД,ОДС №5-Восточное Измайлово,"город Москва, 13-я Парковая улица, дом 21","ГБУ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/028,68948,город Москва,Восточный административный округ,муниципальный округ Восточное Измайлово,,13-я Парковая улица,дом,16,1,,,1,панельные,многоквартирный дом,жилые,Здание,5.0,,"3159,7",3
55,175258790,"13-я Парковая ул., д. 16, к. 2","город Москва, 13-я Парковая улица, дом 16, корпус 2",ВАО,18835,МКД,ОДС №5-Восточное Измайлово,"город Москва, 13-я Парковая улица, дом 21","ГБУ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/028,68938,город Москва,Восточный административный округ,муниципальный округ Восточное Измайлово,,13-я Парковая улица,дом,16,2,,,1,панельные,многоквартирный дом,жилые,Здание,5.0,,"3190,1",3
